code,availability,name,base_price,category,organic,gmo,brand,status,size,weight,ups_ship,image,sale,description
QP038,0,"Fresh Produce Apples, Pink Ladies, Organic - 20 lbs.",24,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lbs.",21,N,https://media.azurestandard.com/generic_images/qp038.jpg,0,http://www.azurestandard.com/data/product-description/3422
QP086,0,"Fresh Produce Coconut, Organic - 1 nut",2.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 nut",4,N,https://media.azurestandard.com/generic_images/qp086.jpg,0,http://www.azurestandard.com/data/product-description/3437
QP158,0,"Fresh Produce Potatoes, Yellow, Organic - 50 lbs.",36.6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"50 lbs.",51,N,https://media.azurestandard.com/generic_images/qp158.jpg,0,http://www.azurestandard.com/data/product-description/3471
QP164,0,"Fresh Produce Salad Tomato, Organic #1 - 6pk",3.95,QP,TRUE,Unknown,"Fresh Produce",Active,6pk,1.25,N,https://media.azurestandard.com/generic_images/Salad_Tomato_1.jpg,0,http://www.azurestandard.com/data/product-description/9356
QP199,0,"Fresh Produce Tomatoes, Cherry Mix, Organic - 1 pt.",5,QP,TRUE,Unknown,"Fresh Produce",Active,"1 pt.",0.5,N,https://media.azurestandard.com/generic_images/qp199.jpg,0,http://www.azurestandard.com/data/product-description/3489
QP220,0,"Fresh Produce Apples, Braeburn, Organic - 20 lbs",22.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lbs",21,N,https://media.azurestandard.com/generic_images/qp220.jpg,0,http://www.azurestandard.com/data/product-description/3495
QP225,0,"Fresh Produce Apples, Opal, Organic - 27 Pounds",35,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"27 Pounds",27,N,https://media.azurestandard.com/generic_images/opal_apples.png,0,http://www.azurestandard.com/data/product-description/19776
QP990,0,"Fresh Produce Pears, Bosc, Organic, Bin - 1000 lbs",,QP,TRUE,Unknown,"Fresh Produce",Active,"1000 lbs",1000,N,,0,http://www.azurestandard.com/data/product-description/14214
QP995,0,"Fresh Produce Apples, Juice Grade, Organic Bin - 1000 lbs",,QP,TRUE,Unknown,"Fresh Produce",Active,"1000 lbs",1000,N,,0,http://www.azurestandard.com/data/product-description/14336
QP980,1,"Fresh Produce Vegetable Tray - 1 case",,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 case",4.5,N,,0,http://www.azurestandard.com/data/product-description/20246
QP049,2,"Fresh Produce Cabbage, Green, Organic - Case Pack",44.8,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"Case Pack",40,N,https://media.azurestandard.com/generic_images/qp049.jpg,0,http://www.azurestandard.com/data/product-description/5773
QP062,2,"Fresh Produce Celery, Organic - 30 to 36 x 1 Bunch",55.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"30 to 36 x 1 Bunch",40,N,https://media.azurestandard.com/generic_images/qp062.jpg,0,http://www.azurestandard.com/data/product-description/5777
QP901,2,"Fresh Produce Squash, Sugar Pie, Organic, bin - 1 Bin",,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 Bin",600,N,,0,http://www.azurestandard.com/data/product-description/19656
QP059,4,"Fresh Produce Limes, Organic - 38 lbs.",84.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"38 lbs.",39,N,https://media.azurestandard.com/generic_images/qp059.jpg,0,http://www.azurestandard.com/data/product-description/5776
QP064,4,"Fresh Produce Carrots, Baby, Organic - 30 x 1 lb.",34.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"30 x 1 lb.",31,N,https://media.azurestandard.com/generic_images/qp064.jpg,0,http://www.azurestandard.com/data/product-description/5778
QP992,4,"Fresh Produce Pears, Danjou, Organic, Bin - 400 lbs",,QP,TRUE,Unknown,"Fresh Produce",Active,"400 lbs",400,N,,0,http://www.azurestandard.com/data/product-description/14218
QP081,6,"Fresh Produce Avocado, Large, Organic - 36-48 ct.",50,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"36-48 ct.",22,N,https://media.azurestandard.com/generic_images/qp081.jpg,0,http://www.azurestandard.com/data/product-description/5783
QP922,6,"Fresh Produce Turmeric Root, Organic - 30 lbs",300,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"30 lbs",9,N,https://media.azurestandard.com/generic_images/turmeric_2.jpg,0,http://www.azurestandard.com/data/product-description/15232
QP068,7,"Fresh Produce Cabbage, Red, Organic - Case Pack",84.3,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"Case Pack",42,N,https://media.azurestandard.com/generic_images/qp068.jpg,0,http://www.azurestandard.com/data/product-description/5779
QP991,7,"Fresh Produce Pear, Comice, Organic, Bin - 400 lbs",,QP,TRUE,Unknown,"Fresh Produce",Active,"400 lbs",400,N,,0,http://www.azurestandard.com/data/product-description/14216
QP029,9,"Fresh Produce Pineapple, Fresh, Organic - 20 lbs",34.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lbs",26,N,https://media.azurestandard.com/generic_images/qp029.jpg,0,http://www.azurestandard.com/data/product-description/5769
QP411,10,"Fresh Produce Turnip, Organic - 25#",54.81,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,25#,25,N,https://media.azurestandard.com/generic_images/275381456_fb0c0dfa1c_z.jpg,0,http://www.azurestandard.com/data/product-description/13794
QP003,11,"Fresh Produce Avocado, Small, Organic - 60-70 ct",58,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"60-70 ct",21,N,https://media.azurestandard.com/generic_images/qp003.jpg,0,http://www.azurestandard.com/data/product-description/5763
QP085,12,"Fresh Produce Garlic, Organic - 30 lbs",144.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"30 lbs",31,Y,https://media.azurestandard.com/generic_images/qp085.jpg,0,http://www.azurestandard.com/data/product-description/5784
QP129,12,"Fresh Produce Cauliflower, Organic - 12 x 1 bunch",41,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"12 x 1 bunch",21,N,https://media.azurestandard.com/generic_images/qp129.jpg,0,http://www.azurestandard.com/data/product-description/5791
QP096,13,"Fresh Produce Parsnips, Organic - 25 lbs.",54.9,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"25 lbs.",25.5,N,https://media.azurestandard.com/generic_images/qp096.jpg,0,http://www.azurestandard.com/data/product-description/3446
QP157,15,"Fresh Produce Potatoes, Russet, Organic - 50 lbs.",41.35,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"50 lbs.",51,N,https://media.azurestandard.com/generic_images/qp157.jpg,0,http://www.azurestandard.com/data/product-description/3470
QP231,15,"Fresh Produce Kiwi Fruit, Organic - 20 lbs",50,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lbs",20,N,https://media.azurestandard.com/generic_images/qp231.jpg,0,http://www.azurestandard.com/data/product-description/5799
QP198,16,"Fresh Produce Tomatoes, Red Cherry, Organic - 1 pt.",2.6,QP,TRUE,Unknown,"Fresh Produce",Active,"1 pt.",1,N,https://media.azurestandard.com/generic_images/qp198.jpg,0,http://www.azurestandard.com/data/product-description/3488
QP156,17,"Fresh Produce Onions, Yellow, Organic - 40 lbs.",25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"40 lbs.",41,N,https://media.azurestandard.com/generic_images/qp156.jpg,0,http://www.azurestandard.com/data/product-description/3469
QP266,17,"Fresh Produce Mango, Fresh, Organic - approx 9 lb",19,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"approx 9 lb",10,N,https://media.azurestandard.com/generic_images/qp266.jpg,0,http://www.azurestandard.com/data/product-description/3505
QP400,17,"Fresh Produce Mushrooms, Crimini, Organic - 12/8 Oz",27.3,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"12/8 Oz",6,N,https://media.azurestandard.com/generic_images/Crimini20mushrooms_2.jpg,0,http://www.azurestandard.com/data/product-description/12732
QP405,17,"Fresh Produce Tomatoes, Variety Mix #2, Organic - 5.5 lbs.",17.5,QP,TRUE,Unknown,"Fresh Produce",Active,"5.5 lbs.",5.5,N,https://media.azurestandard.com/generic_images/qp405.jpg,0,http://www.azurestandard.com/data/product-description/3531
QP261,19,"Fresh Produce Leeks, Organic - 20 lb",25.35,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lb",21,N,https://media.azurestandard.com/generic_images/qp261.jpg,0,http://www.azurestandard.com/data/product-description/5800
QP087,20,"Fresh Produce Beets, Golden Organic - 25 lbs.",45,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"25 lbs.",25.5,N,https://media.azurestandard.com/generic_images/qp087.jpg,0,http://www.azurestandard.com/data/product-description/3438
QP293,20,"Fresh Produce Yam, Organic - 36 lbs",57.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"36 lbs",36,N,https://media.azurestandard.com/generic_images/qp293.jpg,0,http://www.azurestandard.com/data/product-description/5805
QP120,24,"Fresh Produce Carrots #1, Organic - 25 lbs.",30,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"25 lbs.",26,N,https://media.azurestandard.com/generic_images/qp120.jpg,0,http://www.azurestandard.com/data/product-description/3463
QP409,25,"Fresh Produce Sweet Potato, Organic - 40#",60,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,40#,40,N,https://media.azurestandard.com/generic_images/imagesCAYQQNNV.jpg,0,http://www.azurestandard.com/data/product-description/13790
QP388,26,"Fresh Produce Meyer Lemon, Organic - 10 lbs",25.35,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"10 lbs",10,N,https://media.azurestandard.com/generic_images/Meyer-lemon-ripe.jpg,0,http://www.azurestandard.com/data/product-description/9926
QP056,29,"Fresh Produce Lemons, Organic - 38 lbs.",70.25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"38 lbs.",39,N,https://media.azurestandard.com/generic_images/qp056.jpg,0,http://www.azurestandard.com/data/product-description/5775
QP512,31,"Fresh Produce Kale, Green Organic - 24 Bunch",39.6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"24 Bunch",20,N,https://media.azurestandard.com/generic_images/green_kale.jpg,0,http://www.azurestandard.com/data/product-description/12868
QP127,32,"Fresh Produce Broccoli, Organic - 14 x 1 bunch",22.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"14 x 1 bunch",21,N,https://media.azurestandard.com/generic_images/qp127.jpg,0,http://www.azurestandard.com/data/product-description/5790
QP518,32,"Fresh Produce Romaine Hearts, Organic - 12/3 Pack",35.85,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"12/3 Pack",15,N,https://media.azurestandard.com/generic_images/romaine_hearts.jpg,0,http://www.azurestandard.com/data/product-description/12884
QP050,33,"Fresh Produce Cabbage, Green, Organic - 1 random weight",6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 random weight",3.5,N,https://media.azurestandard.com/generic_images/qp050.jpg,0,http://www.azurestandard.com/data/product-description/8440
QP050,33,"Fresh Produce Cabbage, Green, Organic - 1 random weight",6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 random weight",3.5,N,https://media.azurestandard.com/generic_images/qp050.jpg,0,http://www.azurestandard.com/data/product-description/8440
QP325,33,"Fresh Produce Oranges, Organic - 10 x 4 lb",53.45,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"10 x 4 lb",41,N,https://media.azurestandard.com/generic_images/qp325.jpg,0,http://www.azurestandard.com/data/product-description/5806
QP035,35,"Frozen Produce Hot Pepper Mix, Diced, Raw, Frozen, Organic - 6X8oz.",18.45,QP,TRUE,Unknown,"Frozen Produce",Active,6X8oz.,1.1,N,https://media.azurestandard.com/generic_images/qp035.jpg,0,http://www.azurestandard.com/data/product-description/3419
QP408,36,"Fresh Produce Bair Organics Garlic, Romanian Red Hardneck Org. - 1lb",19.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,1lb,1,Y,https://media.azurestandard.com/generic_images/qp408.jpg,0,http://www.azurestandard.com/data/product-description/3534
QP140,37,"Fresh Produce Potatoes, Russet, Organic - 10 x 5 lbs.",28.25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"10 x 5 lbs.",51,N,https://media.azurestandard.com/generic_images/qp140.jpg,0,http://www.azurestandard.com/data/product-description/5792
QP119,40,"Fresh Produce Potatoes, Red, Organic - 50 lbs.",36.6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"50 lbs.",51,N,https://media.azurestandard.com/generic_images/qp119.jpg,0,http://www.azurestandard.com/data/product-description/3462
QP026,51,"Fresh Produce Apples, Granny Smith, Organic - 20 lbs.",25,QP,TRUE,Unknown,"Fresh Produce",Active,"20 lbs.",20,N,https://media.azurestandard.com/generic_images/qp026.jpg,0,http://www.azurestandard.com/data/product-description/3413
QP224,51,"Fresh Produce Grapefruit, Organic - 35 lbs.",46.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"35 lbs.",36,N,https://media.azurestandard.com/generic_images/qp224.jpg,0,http://www.azurestandard.com/data/product-description/3499
QP412,51,"Fresh Produce Turnip, Organic - 5#",11,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,5#,5,N,https://media.azurestandard.com/generic_images/turnip.jpg,0,http://www.azurestandard.com/data/product-description/13796
QP097,55,"Fresh Produce Parsnips, Organic - 5 lbs.",11.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp097.jpg,0,http://www.azurestandard.com/data/product-description/3447
QP295,59,"Fresh Produce Beets, Red, Fresh, Organic - 25 lbs.",44.25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"25 lbs.",26,N,https://media.azurestandard.com/generic_images/qp295.jpg,0,http://www.azurestandard.com/data/product-description/3518
QP121,70,"Fresh Produce Oranges, California Navel, Organic - 38 lbs.",46.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"38 lbs.",40,N,https://media.azurestandard.com/generic_images/qp121.jpg,0,http://www.azurestandard.com/data/product-description/3464
QP053,73,"Fresh Produce Apples, In Season, Organic Red - 3 lbs.",3,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 lbs.",3,N,https://media.azurestandard.com/generic_images/qp053.jpg,0,http://www.azurestandard.com/data/product-description/3427
QP386,73,"Fresh Produce Pomegranate, Fresh, Transitional - 20 lbs",21.5,QP,FALSE,Unknown,"Fresh Produce",Active,"20 lbs",20,N,https://media.azurestandard.com/generic_images/pomegranate.jpg,0,http://www.azurestandard.com/data/product-description/9528
QP061,79,"Fresh Produce Limes, Organic - 2 lbs.",5.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 lbs.",2,N,https://media.azurestandard.com/generic_images/qp061.jpg,0,http://www.azurestandard.com/data/product-description/3430
QP063,81,"Fresh Produce Celery, Organic - 1 Bunch",3.25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 Bunch",1.5,N,https://media.azurestandard.com/generic_images/qp063.jpg,0,http://www.azurestandard.com/data/product-description/8444
QP078,84,"Fresh Produce Pineapple, Fresh, Organic - 1 pineapple",6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 pineapple",2,N,https://media.azurestandard.com/generic_images/qp078.jpg,0,http://www.azurestandard.com/data/product-description/8451
QP057,86,"Fresh Produce Lemons, Organic - 10 lbs.",19,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"10 lbs.",10.5,N,https://media.azurestandard.com/generic_images/qp057.jpg,0,http://www.azurestandard.com/data/product-description/8442
QP057,86,"Fresh Produce Lemons, Organic - 10 lbs.",19,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"10 lbs.",10.5,N,https://media.azurestandard.com/generic_images/qp057.jpg,0,http://www.azurestandard.com/data/product-description/8442
QP360,98,"Fresh Produce Turmeric Root, Organic - 8 Oz",4.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"8 Oz",0.5,N,https://media.azurestandard.com/generic_images/tumeric.jpg,0,http://www.azurestandard.com/data/product-description/15234
QP088,100,"Fresh Produce Beets, Golden Organic - 5 lbs.",9.95,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp088.jpg,0,http://www.azurestandard.com/data/product-description/3439
QP084,102,"Fresh Produce Bair Organics Seed Garlic, Chesnok Hardneck Organic - 1lb",19.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,1lb,1,Y,https://media.azurestandard.com/generic_images/qp084_1.jpg,0,http://www.azurestandard.com/data/product-description/3436
QP069,113,"Fresh Produce Cabbage, Red, Organic - 1 random weight",7,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 random weight",3.5,N,https://media.azurestandard.com/generic_images/qp069.jpg,0,http://www.azurestandard.com/data/product-description/8447
QP069,113,"Fresh Produce Cabbage, Red, Organic - 1 random weight",7,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 random weight",3.5,N,https://media.azurestandard.com/generic_images/qp069.jpg,0,http://www.azurestandard.com/data/product-description/8447
QP297,115,"Fresh Produce Squash, Butternut, Organic - 12 lbs.",13.5,QP,TRUE,Unknown,"Fresh Produce",Active,"12 lbs.",13,N,https://media.azurestandard.com/generic_images/qp297.jpg,0,http://www.azurestandard.com/data/product-description/3520
QP065,120,"Fresh Produce Carrots, Baby, Organic - 1 lb.",2.15,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 lb.",1,N,https://media.azurestandard.com/generic_images/qp065.jpg,0,http://www.azurestandard.com/data/product-description/8445
QP389,133,"Fresh Produce Meyer Lemon, Organic - 2 lbs.",8.9,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 lbs.",2,N,https://media.azurestandard.com/generic_images/Meyer-lemon-ripe.jpg,0,http://www.azurestandard.com/data/product-description/9928
QP082,147,"Fresh Produce Avocado, Large, Organic - 2 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 ct.",1.5,N,https://media.azurestandard.com/generic_images/qp082.jpg,0,http://www.azurestandard.com/data/product-description/8452
QP082,147,"Fresh Produce Avocado, Large, Organic - 2 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 ct.",1.5,N,https://media.azurestandard.com/generic_images/qp082.jpg,0,http://www.azurestandard.com/data/product-description/8452
QP130,149,"Fresh Produce Cauliflower, Organic - 1 bunch",5.15,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 bunch",0.7,N,https://media.azurestandard.com/generic_images/qp130.jpg,0,http://www.azurestandard.com/data/product-description/8461
QP170,149,"Fresh Produce Carrots #2, Organic - 25 lbs.",19,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"25 lbs.",26,N,https://media.azurestandard.com/generic_images/qp170.jpg,0,http://www.azurestandard.com/data/product-description/3477
QP222,150,"Fresh Produce Apples, Fuji, Organic - 20 lbs",24,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"20 lbs",21,N,https://media.azurestandard.com/generic_images/qp222.jpg,0,http://www.azurestandard.com/data/product-description/3497
QP232,150,"Fresh Produce Kiwi Fruit, Organic - 2 lbs. approx",6.25,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"2 lbs. approx",2,N,https://media.azurestandard.com/generic_images/qp232.jpg,0,http://www.azurestandard.com/data/product-description/8465
QP172,153,"Fresh Produce Potatoes, Yellow, Organic - 5 lbs.",5.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp172.jpg,0,http://www.azurestandard.com/data/product-description/3479
QP451,160,"Fresh Produce Mango, Fresh, Organic - 1 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"1 ct.",1,N,https://media.azurestandard.com/generic_images/mango.jpg,0,http://www.azurestandard.com/data/product-description/12364
QP401,208,"Fresh Produce Mushrooms, Crimini, Organic - 8 oz",2.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"8 oz",0.5,N,https://media.azurestandard.com/generic_images/crimini_cookthinker_2.jpg,0,http://www.azurestandard.com/data/product-description/12734
QP034,209,"Fresh Produce Potatoes, Red, Organic - 5 lbs.",6,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp034.jpg,0,http://www.azurestandard.com/data/product-description/3418
QP294,249,"Fresh Produce Yam, Organic - 3 lbs.",5.75,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 lbs.",3,N,https://media.azurestandard.com/generic_images/qp294.jpg,0,http://www.azurestandard.com/data/product-description/8474
QP004,271,"Fresh Produce Avocado, Small, Organic - 3 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 ct.",1,N,https://media.azurestandard.com/generic_images/qp004.jpg,0,http://www.azurestandard.com/data/product-description/8433
QP004,271,"Fresh Produce Avocado, Small, Organic - 3 ct.",3.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 ct.",1,N,https://media.azurestandard.com/generic_images/qp004.jpg,0,http://www.azurestandard.com/data/product-description/8433
QP165,275,"Fresh Produce Carrots #1, Organic - 5 lbs.",5.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp165.jpg,0,http://www.azurestandard.com/data/product-description/3474
QP165,275,"Fresh Produce Carrots #1, Organic - 5 lbs.",5.5,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5,N,https://media.azurestandard.com/generic_images/qp165.jpg,0,http://www.azurestandard.com/data/product-description/3474
QP055,288,"Fresh Produce Apples, In Season, Organic Green or Yellow - 3 lbs",3,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"3 lbs",3,N,https://media.azurestandard.com/generic_images/green_apple.jpg,0,http://www.azurestandard.com/data/product-description/13786
QP033,297,"Fresh Produce Beets, Red, Fresh, Organic - 5 lbs.",9,QP,TRUE,"Not Genetically Modified","Fresh Produce",Active,"5 lbs.",5.5,N,https://media.azurestandard.com/generic_images/qp033.jpg,0,http://www.azurestandard.com/data/product-description/3417